Year,LI,SI,KI,INVHGT,MIXHGT
1989,5.960072595281306,5.054446460980036,16.30727272727273,550.187969924812,930.3037974683544
1990,8.355371900826446,5.7924791086350975,14.437150837988828,499.74365482233503,1067.5487804878048
1991,8.132530120481928,5.651761517615176,15.032301480484522,488.90076335877865,1013.9122807017544
1992,7.12664907651715,5.105680317040951,16.187830687830687,382.7051886792453,951.6637931034483
1993,9.343522561863173,6.15429403202329,13.196506550218341,511.9748858447489,934.777027027027
1994,9.031724137931034,5.8962655601659755,13.156293222683264,402.1493383742911,983.6095238095238
1995,8.986394557823129,6.2884353741496595,13.081632653061224,369.5964601769912,1040.0975609756097
1996,9.466759002770083,6.302777777777778,12.7033426183844,440.18279569892474,1002.2903225806451
1997,8.49793103448276,6.324137931034483,15.304827586206896,313.3529411764706,883.625
1998,6.835904628330995,5.743338008415147,13.61851332398317,478.4964871194379,1243.0273224043715
1999,8.004304160688665,6.171223021582734,10.715317919075144,431.673417721519,1066.2875
2000,8.993169398907105,6.8,11.114010989010989,528.9976247030879,1121.6438356164383
2001,7.279614325068871,5.3402203856749315,13.867768595041323,445.22558139534885,1179.953947368421
2002,7.774574049803408,5.782894736842105,12.342629482071713,513.8627906976744,1059.1772151898733
2003,8.271989174560217,5.886920980926431,12.990424076607388,559.2557544757033,1065.2747252747254
2004,6.983870967741935,5.0608108108108105,14.66576454668471,510.9074074074074,930.6607142857143
2005,7.342465753424658,5.306849315068493,14.53013698630137,479.58684210526314,1003.427135678392
2006,7.9605077574047955,5.876944837340877,13.007072135785007,485.3453038674033,1245.6341463414635
2007,8.625816993464053,6.4537953795379535,12.353820598006644,586.5296052631579,682.5826446280992
2008,8.891509433962264,6.4340222575516695,9.2752,592.3382789317508,874.0962343096235
2009,8.802752293577981,6.407692307692308,10.820433436532507,612.1504424778761,838.215139442231
2010,8.798771121351766,6.345679012345679,11.55748031496063,522.4198250728863,828.5
2011,9.564814814814815,6.679748822605966,9.305863708399366,575.1847507331378,1131.4448818897638
2012,7.4328125,5.479559748427673,10.832,507.6802507836991,919.01171875
2013,8.478333333333333,6.826890756302521,10.776450511945393,618.4138972809668,815.5942028985507
2014,8.483818770226538,6.787928221859707,9.794407894736842,694.2125,892.0693430656934
2015,7.291436464088398,6.340720221606648,13.42200557103064,662.9309392265193,827.8292011019283
2016,6.151474530831099,5.728494623655914,11.65498652291105,550.6815476190476,989.1797101449275
2017,7.100817438692098,6.2604456824512535,11.807365439093484,613.2521489971347,1080.207756232687
2018,8.16759002770083,6.65406976744186,11.577380952380953,607.3162393162393,975.1340782122905
2019,7.853174603174603,5.95303867403315,12.140252454417952,658.1490514905149,997.8774373259052
2020,7.586305278174037,6.284005979073243,12.001552795031056,637.0683760683761,980.6706586826348
2021,10.746376811594203,8.760299625468164,4.740458015267175,838.5488721804511,969.8680555555555
2022,7.797062750333779,5.971389645776567,11.911357340720222,569.7195467422097,1228.9126984126983
2023,5.341463414634147,4.7607361963190185,15.106481481481481,520.7760252365931,1031.2772861356932
